id,planet_type,discovery_date,mass,planet_radius,orbital_radius,orbital_period,eccentricity,detection_method
2792,Neptune-like,2021,7.97 Earths,0.245 x Jupiter,0.0989 AU,11.1 days,0.0,
2793,Super Earth,2021,2.57 Earths,1.409 x Earth,0.0563 AU,5.6 days,0.0,
2794,Neptune-like,2021,6.29 Earths,0.213 x Jupiter,0.2597 AU,57.3 days,0.0,
2795,Neptune-like,2014,6.17 Earths,0.211 x Jupiter,0.092 AU,10.7 days,0.0,
2796,Super Earth,2014,8.8 Earths,1.97 x Earth,0.141 AU,20.3 days,0.0,
2797,Neptune-like,2014,6.76 Earths,0.222 x Jupiter,0.179 AU,29 days,0.0,
2798,Terrestrial,2021,0.313 Earths,0.729 x Earth,0.0206 AU,1.4 days,0.0,
2799,Neptune-like,2021,14.5 Earths,0.348 x Jupiter,0.1016 AU,12 days,0.0,
2800,Super Earth,2021,4.22 Earths,1.886 x Earth,0.0762 AU,8 days,0.0,
2801,Super Earth,2021,2.92 Earths,1.519 x Earth,0.2395 AU,48.9 days,0.0,
2802,Neptune-like,2021,7.21 Earths,0.231 x Jupiter,0.2119 AU,39.8 days,0.0,
2803,Super Earth,2021,1.96 Earths,1.216 x Earth,0.0115 AU,0.7 days,0.0,
2804,Super Earth,2021,3.66 Earths,1.734 x Earth,0.0215 AU,1.3 days,0.0,
2805,Super Earth,2021,4.5 Earths,1.961 x Earth,0.0807 AU,8.9 days,0.0,
2806,Neptune-like,2021,6.44 Earths,0.216 x Jupiter,0.3575 AU,88.1 days,0.0,
2807,Super Earth,2021,3.13 Earths,1.583 x Earth,0.0394 AU,2.7 days,0.0,
2808,Super Earth,2014,1.71 Earths,1.17 x Earth,0.026 AU,1.6 days,0.0,
2809,Super Earth,2014,4.74 Earths,2.02 x Earth,0.139 AU,20.7 days,0.0,
2810,Super Earth,2021,1.55 Earths,1.139 x Earth,0.1021 AU,12.7 days,0.0,
2811,Neptune-like,2021,5.5 Earths,2.207 x Earth,0.2408 AU,40 days,0.0,
2812,Neptune-like,2021,5.49 Earths,2.203 x Earth,0.1199 AU,16.1 days,0.0,
2813,Neptune-like,2021,5.74 Earths,0.202 x Jupiter,0.2555 AU,45 days,0.0,
2814,Terrestrial,2021,0.353 Earths,0.754 x Earth,0.0488 AU,3.9 days,0.0,
2815,Super Earth,2021,3.11 Earths,1.577 x Earth,0.0344 AU,2.5 days,0.0,
2816,Super Earth,2021,4.99 Earths,2.082 x Earth,0.1016 AU,11.7 days,0.0,
2817,Super Earth,2021,1.65 Earths,1.16 x Earth,0.0872 AU,9.9 days,0.0,
2818,Neptune-like,2021,10.1 Earths,0.281 x Jupiter,0.6266 AU,211 days,0.0,
2819,Super Earth,2021,1.46 Earths,1.12 x Earth,0.0791 AU,8.2 days,0.0,
2820,Super Earth,2014,1.24 Earths,1.07 x Earth,0.0343 AU,3.9 days,0.0,
2821,Super Earth,2014,2.1 Earths,1.25 x Earth,0.0451 AU,7.3 days,0.0,
2822,Super Earth,2014,2.54 Earths,1.4 x Earth,0.0781 AU,13.3 days,0.0,
2823,Super Earth,2014,2.15 Earths,1.27 x Earth,0.11 AU,22.4 days,0.0,
2824,Super Earth,2014,1.71 Earths,1.17 x Earth,0.432 AU,129.9 days,0.04,
2825,Neptune-like,2021,5.07 Earths,2.101 x Earth,0.0453 AU,3.6 days,0.0,
2826,Neptune-like,2021,6.44 Earths,0.216 x Jupiter,0.0308 AU,2 days,0.0,
2827,Neptune-like,2021,6.28 Earths,0.213 x Jupiter,0.0465 AU,3.8 days,0.0,
2828,Super Earth,2021,3.28 Earths,1.626 x Earth,0.0128 AU,0.6 days,0.0,
2829,Neptune-like,2021,5.52 Earths,2.211 x Earth,0.2633 AU,56.6 days,0.0,
2830,Neptune-like,2021,10.5 Earths,0.288 x Jupiter,0.2039 AU,34.5 days,0.0,
2831,Terrestrial,2021,0.905 Earths,0.98 x Earth,0.0735 AU,7 days,0.0,
2832,Terrestrial,2021,0.179 Earths,0.624 x Earth,0.0351 AU,2.4 days,0.0,
2833,Neptune-like,2021,8.86 Earths,0.261 x Jupiter,0.0521 AU,4.4 days,0.0,
2834,Super Earth,2021,4.92 Earths,2.065 x Earth,0.0953 AU,10.6 days,0.0,
2835,Super Earth,2014,2.57 Earths,1.41 x Earth,0.059 AU,4.9 days,0.0,
2836,Neptune-like,2014,7.61 Earths,0.238 x Jupiter,0.099 AU,10.6 days,0.0,
2837,Neptune-like,2021,5.13 Earths,2.117 x Earth,0.054 AU,6.3 days,0.0,
